author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Абрамов, Ф.",Жила-была семужка,Повесть,1980,100000,0,1,1,0,Ленинград,м
"Абдулова, В. В.",Литсья банана,,1980,150000,1,0,0,0,Ленинград,ж
"Абрамов, Ф.",Пелагея,Повесть,1980,500000,0,1,0,0,Москва,м
"Абрамов, Ф.",Пролетали Лебеди,Рассказы,1979,10000,0,1,1,0,Ленинград,м
"Акбальян, Е. Р.",Талисман,Повесть,1981,75000,0,1,1,0,Москва,ж
"Акулини, А. М.",Московскме гостиницы,Повесть,1980,30000,0,0,0,0,,м
"Александров, В. Е.",Тимур - сын Фрунзе,Повесть,1979,100000,0,0,0,0,,м
"Алксеев,  В. А.",Разноцветные континенты,Повесть,1981,300000,0,1,0,0,Москва,м
"Алексеев, М. Н.",Карюха,Повесть,1981,100000,0,1,1,0,Москва,м
"Алексеев, М.",Мишкино детство,Повесть,1979,150000,1,0,0,0,Москва,м
"Алексин, А. Г.",Собрание сочинений,Повести и рассказы,1979,300000,0,0,1,0,Москва,м
"Алексин, А. Г.",Собрание сочинений,Повести и рассказы,1980,300000,0,0,1,0,Москва,м
"Алексин, А. Г.",А тем временем где-то,Повесть,1980,200000,0,1,0,0,Москва,м
"Алексин, А. Г.",Звоните и приезжате,Повесть,1981,250000,0,1,1,0,Минск,м
"Алексин, А.",Третий в пятом ряду,Повесть,1981,500000,0,1,1,0,Москва,м
"Алехин, В. С. ",Над обрывом,Повесть,1980,200000,0,1,1,0,Воронеж,м
"Алмазов, Б. А.",Белый шиповник,Повесть,1979,150000,1,0,0,0,Ленинград,м
"Алмазов, Б. А.",Считаю до трех!,Повесть,1981,150000,1,0,0,0,Ленинград,м
"Алтаев, А. ",К вершинам искусства,Роман,1981,150000,1,0,0,0,Москва,м
"Амлинский, В. И. ",Сегодня и навсегда,"Роман, повесть, рассказы",1981,100000,0,0,1,0,Москва,м
"Ампелонов, А. Л.",Специальный приз,"Рассказы, повесть",1980,100000,1,1,0,0,Москва,м
"Андреев, А. А. ",Опасная посылка,Повесть,1981,15000,0,1,0,0,Ижевск,м
"Андрианов, Ф. К.",Зарево над Рузаевской,Повесть,1980,30000,0,1,1,0,Саранск,м
"Анненков, Ю. Л. ",Штурманок прокладывает курс,Роман,1981,100000,0,1,1,0,Москва,м
"Антипин, А. Н.",Звонок на урок,Повесть,1981,50000,0,1,1,0,Иркутск,м
"Антонов, С. П.",Поддубенские частушки,Повесть,1979,100000,0,0,1,0,Москва,м
"Антонов, С. П.",Царский двугривенный,Повесть,1981,75000,0,1,0,0,Свердловск,м
"Аренштейн, А. И. ",Крепости берут с бою,Рассказы,1980,100000,1,0,0,0,Киров,м
"Арро, В. К.",Старый барабанщик,Рассказы,1980,150000,1,0,0,0,Ленинград,м
"Арсеньев, В. К.",Встречи в тайге,Рассказы,1980,150000,1,0,0,0,Ленинград,м
"Артюхова, Н. М.",Новые соседи,Рассказы,1981,100000,1,0,0,0,Москва,ж
"Артюшенко, С. К. ",Шутка с питоном,Рассказы,1981,50000,1,0,0,0,Киев,м
"Асланов, И.",Краешек судбюы,Повесть,1979,30000,0,0,0,0,Ташкент,м
"Астафьев, В. П.",Белогрудка,Рассказы,1970,400000,1,0,0,0,Москва,м
"Астафьев, В. П.",Васюткино озеро,Рассказы,1980,1000000,1,0,0,0,Москва,м
"Астафьев, В. П.",Дядя Кузя - куриный начальник,Повесть,1981,750000,1,0,0,0,Москва,м
"Астафьев, В. П.",Конь с розовой гривой,Рассказы,1981,100000,1,0,0,0,Воронеж,м
"Астафьев, В. П.",Кража,Повесть,1979,100000,0,0,1,0,Ленинград,м
"Ахмедов, Р. Б.",Третья жизнь,Рассказы,1979,15000,0,1,1,0,Уфа,м
"Бадигин, К. С.",Ключи от заколдованного замка,Роман-хроника,1980,75000,0,0,1,0,Москва,м
"Бадигин, К. С.",Кораблекрушение у острова Надежды,Роман,1981,50000,0,0,1,0,,м
"Бадигин, К. С.",На затонувшем корабле,Роман,1981,100000,0,0,1,0,Москва,м
"Баженов, В.Н.",Лесной хирург,Рассказы,1980,65000,0,1,0,0,Киев,м
"Бажов, П.П.",Зелёная кобылка,Повесть,1979,200000,1,0,0,0,Иркутск,м
"Базанков, М.Ф.",Однажды утром,Рассказы,1981,165000,1,0,0,0,Ярославль,м
"Базанков, М.Ф.",Самая сладкая рябина,Повесть и рассказы,1979,100000,0,1,0,0,Москва,м
"Байдерин, В.А.",Почему сердился дятел,Рассказы,1980,30000,1,0,0,0,Ставрополь,м
"Байсуров, М.Г.",Тринадцатый сом,Приключенческая повесть,1979,50000,0,1,0,0,Алма-Ата,м
"Балашов, В.С.",Серебряные весла,Повести и рассказы,1979,50000,0,1,0,0,Куйбышев,м
"Балков, К.Н.",Демкины воробьи,Повесть,1981,30000,1,0,0,0,Улан-Удэ,м
"Балязин, В.Н.",За светом идущий,Роман,1981,100000,0,0,1,0,Москва,м
"Бетев, С.М.",Своя звезда,Повести,1981,50000,0,0,1,0,Свердлвск,м
"Бианки, В.",Снежная книга,Рассказ,1981,500000,1,0,0,0,Ленинград,м
"Беляев, А.",Голова профессора Доуэля,,1981,200000,0,0,1,0,Москва,м
"Беляев, В.П.",Старая крепость,,1981,100000,0,0,0,0,Москва,м
"Белянинов, А.С.",Много дней впереди,Повести,1979,100000,0,1,0,0,Алма-Ата,м
"Белоглазова, Р.В.",Пластилиновый мальчишка,Рассказы,1980,15000,1,1,0,0,Улан-Удэ,ж
"Белых, Г.Г.; Пантелеев, Л.",Республика Шкид,Повесть,1979,150000,0,0,0,0,Москва,м
"Бирюков, Н. З.",Чайка,Роман,1981,200000,0,0,0,0,Москва,м
"Блинков, М. Ф.",Первая крепость,"Повесть, рассказы",1980,15000,0,1,1,0,Краснодар,м
"Бляхин, П. А.",Красные дьяволята,Повесть,1979,200000,0,1,0,0,Тула,м
"Богданов, Н. В.",Бессмертный горнист,Рассказы,1979,450000,1,0,0,0,Москва,м
"Богданов, Н. В.",Будь готов - всегда готов!,Рассказы,1981,500000,1,0,0,0,Москва,м
"Богданов, Н. В.","Всадник, скачущий впереди",Рассказы,1980,150000,1,0,0,0,Москва,м
"Богомолов, В. О.",Иван,Повесть,1980,200000,0,1,0,0,Москва,м
"Богомолов, В. О.",Момент истины,Роман,1980,200000,0,0,0,0,Москва,м
"Богомолов, В. О.",Сердца моего боль,Повести и рассказы,1979,150000,0,0,1,0,Калининград,м
"Бондарев, Ю. В.",Берег,Роман,1979,100000,0,0,0,0,Киев,м
"Бондарев, Ю. В.",Горячий снег,Роман,1979,100000,0,0,0,0,Москва,м
"Бонч-Бруевич, В. Д.",В первые дни Октября,Рассказ,1981,1000000,1,0,0,0,Москва,м
"Борисов, Е. И.",Медовые пряники,Повесть и рассказы,1980,75000,0,0,1,0,Москва,м
"Боровиков, Г. Ф.",Именем Республики,Повесть,1981,100000,0,0,1,0,Москва,м
"Бороздин, В. П.","Там, где звенит Енисей",Повесть,1980,100000,1,0,0,0,Москва,м
"Бочарников, В. А.",Красное солнышко,Повести и рассказы,1980,100000,1,0,0,0,Москва,м
"Браун, Ж. А. ",Решительный сентябрь,Повесть,1981,100000,0,1,1,0,Ленинград,м
"Бременер, М.",Пусть не сошлось с ответом,Повесть,1981,100000,0,0,1,0,Москва,м
"Букин, Н. И.","Север, фас!",Рассказы,1979,300000,1,0,0,0,Москва,м
"Букчин, С. ",Последний год Дениса Фонвизина,Повесть,1981,28000,0,0,1,0,Минск,м
"Бунтов, Я. Д.",Тропою исканий,Повесть,1979,50000,0,1,1,0,Киров,м
"Быстров, А. В.",В чистом поле ,Повесть,1980,15000,0,0,0,0,Свердловск,м
"Валеева, М. Д.",Повесть о черной собаке,Рассказы,1980,15000,1,0,0,0,,м
"Вартан, В.",Свет твои глазам!,Рассказы,1979,100000,1,0,0,0,Ленинград,м
"Василенко, И. Д.",Артемка,Повесть,1979,70000,0,1,0,0,Ростов на Дону,м
"Василенко, И. Д.",Волшебная шкатулка,Повесть,1979,70000,0,1,0,0,Москва,м
"Васильев, А. С.",За жарптицей,Повесть,1979,15000,0,0,0,0,Воронеж,м
"Васильев, Б. Л.",А зори здесь тихие…,Повесть,1979,1000000,0,1,1,0,Ростов на Дону,м
"Васильев, Б. Л.",Не стреляйте белых лебедей,Роман,1981,50000,0,0,1,0,Москва,м
"Васильев, И. А.","Как жить будете, мальчики?",Повесть,1981,100000,0,1,1,0,Москва,м
"Васильев, П. А.",Веселыми и светлыми глазами,Повести и рассказы,1981,100000,0,1,1,0,Ленинград,м
"Великанов, В. Д.",Подарок Чапая,Рассказы,1981,165000,1,0,0,0,Ярославль,м
"Верейская, Е. Н.",Таня-революционерка,Рассказы,1981,300000,1,0,0,0,Москва,ж
"Власов, А. Е.",Третья тропа,Повесть,1980,100000,0,1,1,0,Ленинград,м
"Внуков, Н. А. ",Паруса над волнами,Рассказы,1979,100000,0,1,1,0,Ленинград,м
"Водопьянов, М. В.",Как тяпка попал в школу,Рассказы,1980,1000000,1,0,0,0,Москва,м
"Водопьянов, М. В.",Первый рейс,Рассказы,1980,100000,1,1,0,0,Хабаровск,м
"Воинов, А. И.",Западня,Роман,1979,100000,0,0,1,0,Москва,м
"Волков, А.",Два брата,Роман,1981,100000,0,0,1,0,Москва,м
"Волошкина, А. Н.",Волшебное слово,Рассказы,1980,300000,1,0,0,0,Хабаровск,ж
"Воробьев, В. Г.",Свет новорожденного месяца,Повесть и рассказы,1979,50000,0,0,1,0,Жалын,м
"Воробьева, М. В.",Страницы жизни,Повесть и рассказы,1980,30000,0,0,1,0,Ростов на Дону,ж
"Воронин, С. А.",Зимовка у подножия Чигириканды,Рассказы,1980,100000,0,1,1,0,Ленинград,м
"Воронов, Н. П. ",Голубиная охота,Повести,1980,500000,0,1,0,0,Москва,м
"Воронцова, Е. А.",Урок на свободную тему,Повести,1981,75000,0,1,0,0,Москва,ж
"Воронцова, Т. Ф.",Белые лебеди,Повести,1980,30000,0,1,0,0,Красноярск,ж
"Воротникова, Э. Г.",У нас во дворе,Повесть,1979,10000,0,1,0,0,Алма-Ата,ж
"Воскобойников, В. М.",Остров Безветрия,Повесть,1981,150000,1,0,0,0,Ленинград,м
"Воскобойников, В. М.",Товарищ Емельян,Повесть,1979,100000,1,0,0,0,Ленинград,м
"Воскресенская, З. И. ",Консул,Роман,1981,100000,0,1,1,0,Москва,ж
"Воскресенская, З. И. ",Ленивое солнце,Рассказы,1979,500000,1,0,0,0,Москва,ж
"Воскресенская, З. И. ",Надежда,Повесть,1979,100000,0,1,1,0,Москва,ж
"Гаврилов, П. П.",На баррикаде,Рассказ,1979,300000,1,0,0,0,Москва,м
"Гайдар, А. П.",Военная тайна,Повесть и рассказы,1980,100000,0,1,0,0,Москва,м
"Гайдар, А. П.",Голубая чашка ,Рассказы,1981,630000,1,0,0,0,Краснодар,м
"Гайдар, А. П.",Дальние страны,Повесть,1979,200000,1,0,0,0,Ленинград,м
"Гайдар, А. П.",Дым в лесу,Рассказ,1979,100000,1,0,0,0,Чебоксары,м
"Гайдар, А. П.",Повести,Повесть,1979,800000,0,1,1,0,Ростов на Дону,м
"Гайдар, А. П.",Р.В.С.,Повесть,1981,100000,1,0,0,0,Тула,м
"Гайдар, А. П.",Судьба барабанщика,Повесть,1981,500000,1,0,0,0,Москва,м
"Гайдар, А. П.",Школа,Повесть,1979,200000,0,1,0,0,Москва,м
